R1,R2,R3,R4,marker
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
RED,RED,RED,RED,39
YELLOW,YELLOW,YELLOW,YELLOW,39
YELLOW,YELLOW,YELLOW,YELLOW,39
YELLOW,YELLOW,YELLOW,YELLOW,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
YELLOW,GREEN,YELLOW,YELLOW,39
YELLOW,GREEN,GREEN,YELLOW,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
RED,RED,RED,RED,39
RED,RED,RED,RED,39
RED,RED,RED,RED,39
RED,YELLOW,YELLOW,RED,39
RED,YELLOW,YELLOW,RED,39
RED,YELLOW,YELLOW,RED,39
YELLOW,YELLOW,YELLOW,YELLOW,39
YELLOW,GREEN,GREEN,YELLOW,39
YELLOW,GREEN,GREEN,YELLOW,39
GREEN,GREEN,GREEN,YELLOW,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
RED,RED,RED,RED,38
RED,RED,RED,RED,38
YELLOW,YELLOW,YELLOW,YELLOW,38
YELLOW,GREEN,GREEN,YELLOW,38
YELLOW,GREEN,GREEN,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
RED,RED,YELLOW,YELLOW,38
YELLOW,GREEN,GREEN,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
YELLOW,YELLOW,YELLOW,YELLOW,38
YELLOW,YELLOW,YELLOW,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
YELLOW,RED,YELLOW,YELLOW,38
RED,YELLOW,YELLOW,YELLOW,38
YELLOW,GREEN,GREEN,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
RED,RED,RED,RED,38
RED,RED,RED,RED,38
RED,RED,RED,RED,38
RED,YELLOW,YELLOW,RED,38
RED,YELLOW,YELLOW,YELLOW,38
YELLOW,YELLOW,YELLOW,YELLOW,38
YELLOW,YELLOW,YELLOW,YELLOW,38
YELLOW,GREEN,GREEN,YELLOW,38
YELLOW,GREEN,GREEN,YELLOW,38
RED,YELLOW,YELLOW,RED,38
YELLOW,GREEN,YELLOW,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
RED,RED,RED,RED,38
RED,RED,RED,RED,38
RED,RED,RED,RED,38
YELLOW,YELLOW,YELLOW,YELLOW,38
YELLOW,GREEN,GREEN,YELLOW,38
RED,RED,RED,RED,38
RED,RED,RED,RED,38
GREEN,GREEN,YELLOW,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
YELLOW,YELLOW,YELLOW,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
RED,RED,RED,RED,38
YELLOW,YELLOW,YELLOW,YELLOW,38
YELLOW,YELLOW,YELLOW,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
RED,RED,RED,RED,38
YELLOW,YELLOW,RED,RED,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
RED,YELLOW,YELLOW,YELLOW,38
YELLOW,YELLOW,YELLOW,YELLOW,38
YELLOW,YELLOW,YELLOW,YELLOW,38
YELLOW,YELLOW,YELLOW,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
RED,RED,RED,RED,38
RED,RED,RED,RED,38
YELLOW,YELLOW,YELLOW,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
RED,RED,RED,RED,38
RED,RED,RED,RED,38
RED,YELLOW,YELLOW,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
RED,RED,RED,RED,38
RED,RED,RED,RED,38
YELLOW,YELLOW,YELLOW,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
RED,YELLOW,RED,RED,38
RED,RED,RED,RED,38
YELLOW,YELLOW,YELLOW,YELLOW,38
YELLOW,GREEN,YELLOW,YELLOW,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
GREEN,GREEN,GREEN,GREEN,38
