index,marker,R1,R2,R3,R4
281,40,GREEN,GREEN,GREEN,GREEN
282,40,GREEN,GREEN,GREEN,GREEN
283,40,GREEN,GREEN,GREEN,GREEN
284,40,GREEN,GREEN,GREEN,GREEN
285,40,GREEN,GREEN,GREEN,GREEN
286,40,GREEN,GREEN,GREEN,GREEN
287,40,GREEN,GREEN,GREEN,GREEN
288,40,GREEN,GREEN,GREEN,GREEN
289,40,GREEN,GREEN,GREEN,GREEN
290,40,GREEN,GREEN,GREEN,GREEN
291,40,GREEN,GREEN,GREEN,GREEN
292,40,GREEN,GREEN,GREEN,GREEN
293,40,GREEN,GREEN,GREEN,GREEN
294,40,GREEN,GREEN,GREEN,GREEN
295,40,GREEN,GREEN,GREEN,GREEN
296,40,GREEN,GREEN,GREEN,GREEN
297,40,GREEN,GREEN,GREEN,GREEN
298,40,GREEN,GREEN,GREEN,GREEN
299,40,GREEN,GREEN,GREEN,GREEN
300,40,GREEN,GREEN,GREEN,GREEN
301,40,GREEN,GREEN,GREEN,GREEN
302,40,GREEN,GREEN,GREEN,GREEN
303,40,YELLOW,GREEN,YELLOW,YELLOW
304,40,GREEN,GREEN,GREEN,GREEN
305,40,GREEN,GREEN,GREEN,GREEN
306,40,GREEN,GREEN,GREEN,GREEN
307,40,GREEN,GREEN,GREEN,GREEN
308,40,GREEN,GREEN,GREEN,GREEN
309,40,GREEN,GREEN,GREEN,GREEN
310,40,GREEN,GREEN,GREEN,GREEN
311,40,GREEN,GREEN,GREEN,GREEN
312,40,GREEN,GREEN,GREEN,GREEN
313,40,GREEN,GREEN,GREEN,GREEN
314,40,GREEN,GREEN,GREEN,GREEN
315,40,GREEN,GREEN,GREEN,GREEN
316,40,GREEN,GREEN,GREEN,GREEN
317,40,GREEN,GREEN,GREEN,GREEN
318,40,GREEN,GREEN,GREEN,GREEN
319,40,GREEN,GREEN,GREEN,GREEN
320,40,GREEN,GREEN,GREEN,GREEN
321,40,GREEN,GREEN,GREEN,GREEN
322,40,GREEN,GREEN,GREEN,GREEN
323,40,GREEN,GREEN,GREEN,GREEN
324,39,YELLOW,RED,YELLOW,YELLOW
325,39,YELLOW,YELLOW,YELLOW,GREEN
326,39,GREEN,GREEN,GREEN,GREEN
327,39,GREEN,GREEN,GREEN,GREEN
328,39,GREEN,GREEN,GREEN,GREEN
329,39,GREEN,GREEN,GREEN,GREEN
330,39,GREEN,GREEN,GREEN,GREEN
331,39,GREEN,GREEN,GREEN,GREEN
332,39,GREEN,GREEN,GREEN,GREEN
333,39,GREEN,GREEN,GREEN,GREEN
334,39,GREEN,GREEN,GREEN,GREEN
335,39,GREEN,GREEN,GREEN,GREEN
336,39,GREEN,GREEN,GREEN,GREEN
337,39,GREEN,GREEN,GREEN,GREEN
338,39,GREEN,GREEN,GREEN,GREEN
339,39,GREEN,GREEN,GREEN,GREEN
340,39,GREEN,GREEN,GREEN,GREEN
341,39,GREEN,GREEN,GREEN,GREEN
342,39,GREEN,GREEN,GREEN,GREEN
343,39,GREEN,GREEN,GREEN,GREEN
344,39,GREEN,GREEN,GREEN,GREEN
345,39,GREEN,GREEN,GREEN,GREEN
346,39,GREEN,GREEN,GREEN,GREEN
347,39,GREEN,YELLOW,YELLOW,GREEN
348,39,GREEN,YELLOW,RED,GREEN
349,39,GREEN,YELLOW,RED,YELLOW
350,39,YELLOW,YELLOW,RED,YELLOW
351,39,YELLOW,YELLOW,YELLOW,YELLOW
352,39,YELLOW,YELLOW,YELLOW,YELLOW
353,39,YELLOW,YELLOW,YELLOW,YELLOW
354,39,GREEN,GREEN,GREEN,GREEN
355,39,GREEN,GREEN,GREEN,GREEN
356,39,GREEN,GREEN,GREEN,GREEN
357,39,GREEN,GREEN,GREEN,GREEN
358,39,GREEN,GREEN,GREEN,GREEN
359,39,GREEN,GREEN,GREEN,GREEN
360,39,GREEN,GREEN,GREEN,GREEN
361,39,GREEN,GREEN,GREEN,GREEN
362,39,GREEN,GREEN,GREEN,GREEN
363,39,GREEN,GREEN,GREEN,GREEN
364,39,GREEN,GREEN,GREEN,GREEN
365,39,GREEN,GREEN,GREEN,GREEN
366,39,GREEN,GREEN,GREEN,GREEN
367,39,GREEN,GREEN,GREEN,GREEN
368,39,GREEN,GREEN,GREEN,GREEN
369,39,GREEN,GREEN,GREEN,GREEN
370,39,GREEN,GREEN,GREEN,GREEN
371,39,GREEN,GREEN,GREEN,GREEN
372,39,GREEN,GREEN,GREEN,GREEN
373,39,GREEN,GREEN,GREEN,GREEN
374,39,GREEN,GREEN,GREEN,GREEN
375,39,GREEN,GREEN,GREEN,GREEN
376,39,GREEN,GREEN,GREEN,GREEN
377,39,GREEN,GREEN,GREEN,GREEN
378,39,GREEN,GREEN,GREEN,GREEN
379,39,GREEN,GREEN,GREEN,GREEN
380,39,GREEN,GREEN,GREEN,GREEN
381,39,GREEN,GREEN,GREEN,GREEN
382,39,GREEN,GREEN,GREEN,GREEN
383,39,GREEN,GREEN,GREEN,GREEN
384,39,GREEN,GREEN,GREEN,GREEN
385,39,GREEN,GREEN,GREEN,GREEN
386,39,GREEN,GREEN,GREEN,GREEN
387,39,GREEN,GREEN,GREEN,GREEN
388,39,GREEN,GREEN,GREEN,GREEN
389,39,GREEN,GREEN,GREEN,GREEN
390,39,GREEN,GREEN,GREEN,GREEN
391,39,GREEN,GREEN,GREEN,GREEN
392,39,GREEN,GREEN,GREEN,GREEN
393,39,GREEN,GREEN,GREEN,GREEN
394,39,GREEN,GREEN,GREEN,GREEN
395,39,GREEN,GREEN,GREEN,GREEN
396,39,YELLOW,YELLOW,YELLOW,RED
397,39,GREEN,GREEN,GREEN,GREEN
398,39,GREEN,GREEN,GREEN,GREEN
399,39,GREEN,GREEN,GREEN,GREEN
400,39,GREEN,GREEN,GREEN,GREEN
401,39,GREEN,GREEN,GREEN,GREEN
402,39,GREEN,GREEN,GREEN,GREEN
403,39,GREEN,GREEN,GREEN,GREEN
404,39,GREEN,GREEN,GREEN,GREEN
405,39,GREEN,GREEN,GREEN,GREEN
406,39,GREEN,GREEN,GREEN,GREEN
407,39,GREEN,GREEN,GREEN,GREEN
408,39,GREEN,GREEN,GREEN,GREEN
409,39,GREEN,GREEN,GREEN,GREEN
410,39,GREEN,GREEN,GREEN,GREEN
411,39,GREEN,GREEN,GREEN,GREEN
412,39,GREEN,GREEN,GREEN,GREEN
413,39,GREEN,GREEN,GREEN,GREEN
414,39,GREEN,GREEN,GREEN,GREEN
415,39,GREEN,GREEN,GREEN,GREEN
416,39,GREEN,GREEN,GREEN,GREEN
417,39,GREEN,GREEN,GREEN,GREEN
418,39,GREEN,GREEN,GREEN,GREEN
419,39,GREEN,GREEN,GREEN,GREEN
420,39,GREEN,GREEN,GREEN,GREEN
421,39,GREEN,GREEN,GREEN,GREEN
422,39,GREEN,GREEN,GREEN,GREEN
423,39,GREEN,GREEN,GREEN,GREEN
424,39,GREEN,GREEN,GREEN,GREEN
425,39,GREEN,GREEN,GREEN,GREEN
426,39,GREEN,GREEN,GREEN,GREEN
427,39,GREEN,GREEN,GREEN,GREEN
428,39,GREEN,GREEN,GREEN,GREEN
429,39,GREEN,GREEN,GREEN,GREEN
430,39,GREEN,GREEN,GREEN,GREEN
431,39,GREEN,GREEN,GREEN,GREEN
432,39,GREEN,GREEN,GREEN,GREEN
433,39,GREEN,GREEN,GREEN,GREEN
434,39,GREEN,GREEN,GREEN,GREEN
435,39,GREEN,GREEN,GREEN,GREEN
436,39,GREEN,GREEN,GREEN,GREEN
437,39,GREEN,GREEN,GREEN,GREEN
438,39,GREEN,GREEN,GREEN,GREEN
439,39,GREEN,GREEN,GREEN,GREEN
440,39,GREEN,GREEN,GREEN,GREEN
441,39,GREEN,GREEN,GREEN,GREEN
442,39,GREEN,GREEN,GREEN,GREEN
443,39,GREEN,GREEN,GREEN,GREEN
444,39,GREEN,GREEN,GREEN,GREEN
445,39,GREEN,GREEN,GREEN,GREEN
446,39,GREEN,GREEN,GREEN,GREEN
447,39,GREEN,GREEN,GREEN,GREEN
448,39,GREEN,GREEN,GREEN,GREEN
449,39,YELLOW,YELLOW,YELLOW,RED
450,39,RED,YELLOW,YELLOW,YELLOW
451,39,YELLOW,YELLOW,YELLOW,RED
452,39,YELLOW,YELLOW,YELLOW,YELLOW
453,39,YELLOW,YELLOW,YELLOW,YELLOW
454,39,YELLOW,YELLOW,GREEN,YELLOW
455,39,YELLOW,GREEN,GREEN,YELLOW
456,39,GREEN,GREEN,GREEN,GREEN
457,39,GREEN,GREEN,GREEN,GREEN
458,39,GREEN,GREEN,GREEN,GREEN
459,39,GREEN,GREEN,GREEN,GREEN
460,39,GREEN,GREEN,GREEN,GREEN
461,39,GREEN,GREEN,GREEN,GREEN
462,39,GREEN,GREEN,GREEN,GREEN
463,39,GREEN,GREEN,GREEN,GREEN
464,39,GREEN,GREEN,GREEN,GREEN
465,39,GREEN,GREEN,GREEN,GREEN
466,39,GREEN,GREEN,GREEN,GREEN
467,39,GREEN,GREEN,GREEN,GREEN
468,39,GREEN,GREEN,GREEN,GREEN
469,39,GREEN,GREEN,GREEN,GREEN
470,39,GREEN,GREEN,GREEN,GREEN
471,39,GREEN,GREEN,GREEN,GREEN
472,39,GREEN,GREEN,GREEN,GREEN
473,39,GREEN,GREEN,GREEN,GREEN
474,39,GREEN,GREEN,GREEN,GREEN
475,39,GREEN,GREEN,GREEN,GREEN
476,39,GREEN,GREEN,GREEN,GREEN
477,39,GREEN,GREEN,GREEN,GREEN
478,39,GREEN,GREEN,GREEN,GREEN
479,38,YELLOW,YELLOW,YELLOW,RED
480,38,YELLOW,YELLOW,YELLOW,YELLOW
481,38,GREEN,GREEN,GREEN,GREEN
482,38,GREEN,GREEN,GREEN,GREEN
483,38,GREEN,GREEN,GREEN,GREEN
484,38,GREEN,GREEN,GREEN,GREEN
485,38,RED,YELLOW,GREEN,YELLOW
486,38,GREEN,GREEN,GREEN,GREEN
487,38,GREEN,GREEN,GREEN,GREEN
488,38,GREEN,GREEN,GREEN,GREEN
489,38,GREEN,GREEN,GREEN,GREEN
490,38,GREEN,GREEN,GREEN,GREEN
491,38,GREEN,GREEN,GREEN,GREEN
492,38,GREEN,GREEN,GREEN,GREEN
493,38,GREEN,GREEN,GREEN,GREEN
494,38,GREEN,GREEN,GREEN,GREEN
495,38,GREEN,GREEN,GREEN,GREEN
496,38,GREEN,GREEN,GREEN,GREEN
497,38,GREEN,GREEN,GREEN,GREEN
498,38,GREEN,GREEN,GREEN,GREEN
499,38,GREEN,GREEN,GREEN,GREEN
500,38,GREEN,GREEN,GREEN,GREEN
501,38,GREEN,GREEN,GREEN,GREEN
502,38,GREEN,YELLOW,YELLOW,YELLOW
503,38,YELLOW,YELLOW,GREEN,GREEN
504,38,GREEN,GREEN,GREEN,GREEN
505,38,GREEN,GREEN,GREEN,GREEN
506,38,GREEN,GREEN,GREEN,GREEN
507,38,GREEN,GREEN,GREEN,GREEN
508,38,GREEN,GREEN,GREEN,GREEN
509,38,GREEN,GREEN,GREEN,GREEN
510,38,GREEN,GREEN,GREEN,GREEN
511,38,GREEN,GREEN,GREEN,GREEN
512,38,GREEN,GREEN,GREEN,GREEN
513,38,GREEN,GREEN,GREEN,GREEN
514,38,GREEN,GREEN,GREEN,GREEN
515,38,GREEN,GREEN,GREEN,GREEN
516,38,GREEN,GREEN,GREEN,GREEN
517,38,GREEN,GREEN,GREEN,GREEN
518,38,YELLOW,YELLOW,YELLOW,RED
519,38,YELLOW,YELLOW,YELLOW,RED
520,38,RED,YELLOW,YELLOW,YELLOW
521,38,YELLOW,YELLOW,YELLOW,YELLOW
522,38,YELLOW,GREEN,GREEN,YELLOW
523,38,YELLOW,GREEN,GREEN,GREEN
524,38,GREEN,GREEN,GREEN,GREEN
525,38,GREEN,GREEN,GREEN,GREEN
526,38,GREEN,GREEN,GREEN,GREEN
527,38,YELLOW,YELLOW,YELLOW,YELLOW
528,38,GREEN,GREEN,GREEN,GREEN
529,38,GREEN,GREEN,GREEN,GREEN
530,38,GREEN,GREEN,GREEN,GREEN
531,38,GREEN,GREEN,GREEN,GREEN
532,38,GREEN,GREEN,GREEN,GREEN
533,38,GREEN,GREEN,GREEN,GREEN
534,38,GREEN,GREEN,GREEN,GREEN
535,38,GREEN,GREEN,GREEN,GREEN
536,38,GREEN,GREEN,GREEN,GREEN
537,38,GREEN,GREEN,GREEN,GREEN
538,38,GREEN,GREEN,GREEN,GREEN
539,38,YELLOW,YELLOW,YELLOW,RED
540,38,YELLOW,YELLOW,YELLOW,RED
541,38,YELLOW,YELLOW,YELLOW,RED
542,38,GREEN,GREEN,GREEN,YELLOW
543,38,GREEN,GREEN,GREEN,GREEN
544,38,RED,YELLOW,YELLOW,YELLOW
545,38,YELLOW,YELLOW,YELLOW,RED
546,38,GREEN,GREEN,GREEN,GREEN
547,38,GREEN,GREEN,GREEN,GREEN
548,38,GREEN,GREEN,GREEN,GREEN
549,38,GREEN,GREEN,GREEN,GREEN
550,38,GREEN,GREEN,GREEN,GREEN
551,38,GREEN,GREEN,GREEN,GREEN
552,38,GREEN,GREEN,GREEN,GREEN
553,38,GREEN,GREEN,GREEN,GREEN
554,38,GREEN,GREEN,GREEN,GREEN
555,38,YELLOW,GREEN,GREEN,GREEN
556,38,GREEN,GREEN,GREEN,GREEN
557,38,GREEN,GREEN,GREEN,GREEN
558,38,GREEN,GREEN,GREEN,GREEN
559,38,GREEN,GREEN,GREEN,GREEN
560,38,GREEN,GREEN,GREEN,GREEN
561,38,GREEN,GREEN,GREEN,GREEN
562,38,GREEN,GREEN,GREEN,GREEN
563,38,GREEN,GREEN,GREEN,GREEN
564,38,GREEN,GREEN,GREEN,GREEN
565,38,YELLOW,YELLOW,RED,RED
566,38,YELLOW,GREEN,GREEN,GREEN
567,38,GREEN,GREEN,GREEN,GREEN
568,38,GREEN,GREEN,GREEN,GREEN
569,38,GREEN,GREEN,GREEN,GREEN
570,38,GREEN,GREEN,GREEN,GREEN
571,38,GREEN,GREEN,GREEN,GREEN
572,38,GREEN,GREEN,GREEN,GREEN
573,38,GREEN,GREEN,GREEN,GREEN
574,38,GREEN,GREEN,GREEN,GREEN
575,38,GREEN,GREEN,GREEN,GREEN
576,38,RED,YELLOW,YELLOW,YELLOW
577,38,GREEN,GREEN,RED,YELLOW
